Time, Na, Na_plus
7.319999999999966e-3, 23, 77
7.349999999999966e-3, 26, 74
7.379999999999966e-3, 26, 74
7.409999999999965e-3, 26, 74
7.439999999999965e-3, 23, 77
7.4699999999999645e-3, 24, 76
7.499999999999964e-3, 20, 80
7.529999999999964e-3, 23, 77
7.5599999999999635e-3, 24, 76
7.589999999999963e-3, 27, 73
7.619999999999963e-3, 21, 79
7.649999999999962e-3, 28, 72
7.679999999999962e-3, 24, 76
7.709999999999962e-3, 25, 75
7.739999999999961e-3, 24, 76
7.769999999999961e-3, 23, 77
7.799999999999961e-3, 23, 77
7.82999999999996e-3, 22, 78
7.85999999999996e-3, 22, 78
7.889999999999961e-3, 24, 76
7.919999999999962e-3, 21, 79
7.949999999999962e-3, 24, 76
7.979999999999963e-3, 23, 77
8.009999999999963e-3, 26, 74
8.039999999999964e-3, 29, 71
8.069999999999964e-3, 30, 70
8.099999999999965e-3, 27, 73
8.129999999999965e-3, 26, 74
8.159999999999966e-3, 30, 70
8.189999999999966e-3, 24, 76
8.219999999999967e-3, 24, 76
8.249999999999967e-3, 21, 79
8.279999999999968e-3, 20, 80
8.309999999999968e-3, 21, 79
8.339999999999969e-3, 23, 77
8.36999999999997e-3, 25, 75
8.39999999999997e-3, 25, 75
8.42999999999997e-3, 27, 73
8.459999999999971e-3, 24, 76
8.489999999999972e-3, 20, 80
8.519999999999972e-3, 20, 80
8.549999999999973e-3, 27, 73
8.579999999999973e-3, 26, 74
8.609999999999974e-3, 26, 74
8.639999999999974e-3, 28, 72
8.669999999999975e-3, 24, 76
8.699999999999975e-3, 26, 74
8.729999999999976e-3, 20, 80
8.759999999999976e-3, 24, 76
8.789999999999977e-3, 27, 73
8.819999999999977e-3, 29, 71
8.849999999999978e-3, 24, 76
8.879999999999978e-3, 28, 72
8.909999999999979e-3, 29, 71
8.93999999999998e-3, 29, 71
8.96999999999998e-3, 30, 70
8.99999999999998e-3, 27, 73
9.02999999999998e-3, 26, 74
9.059999999999981e-3, 30, 70
9.089999999999982e-3, 28, 72
9.119999999999982e-3, 28, 72
9.149999999999983e-3, 25, 75
9.179999999999983e-3, 25, 75
9.209999999999984e-3, 28, 72
9.239999999999984e-3, 23, 77
9.269999999999985e-3, 22, 78
9.299999999999985e-3, 24, 76
9.329999999999986e-3, 26, 74
9.359999999999986e-3, 24, 76
9.389999999999987e-3, 22, 78
9.419999999999987e-3, 24, 76
9.449999999999988e-3, 27, 73
9.479999999999988e-3, 25, 75
9.509999999999989e-3, 24, 76
9.53999999999999e-3, 26, 74
9.56999999999999e-3, 26, 74
9.59999999999999e-3, 27, 73
9.629999999999991e-3, 24, 76
9.659999999999992e-3, 24, 76
9.689999999999992e-3, 25, 75
9.719999999999993e-3, 28, 72
9.749999999999993e-3, 35, 65
9.779999999999994e-3, 32, 68
9.809999999999994e-3, 29, 71
9.839999999999995e-3, 28, 72
9.869999999999995e-3, 24, 76
9.899999999999996e-3, 23, 77
9.929999999999996e-3, 24, 76
9.959999999999997e-3, 29, 71
9.989999999999997e-3, 26, 74
1.0019999999999998e-2, 26, 74
1.0049999999999998e-2, 21, 79
1.0079999999999999e-2, 22, 78
1.011e-2, 23, 77
1.014e-2, 23, 77
1.017e-2, 25, 75
1.02e-2, 21, 79
1.0230000000000001e-2, 23, 77
1.0260000000000002e-2, 26, 74
1.0290000000000002e-2, 26, 74
1.0320000000000003e-2, 23, 77
1.0350000000000003e-2, 26, 74
1.0380000000000004e-2, 25, 75
1.0410000000000004e-2, 25, 75
1.0440000000000005e-2, 22, 78
1.0470000000000005e-2, 23, 77
1.0500000000000006e-2, 24, 76
1.0530000000000006e-2, 23, 77
1.0560000000000007e-2, 21, 79
1.0590000000000007e-2, 22, 78
1.0620000000000008e-2, 26, 74
1.0650000000000008e-2, 26, 74
1.0680000000000009e-2, 25, 75
1.071000000000001e-2, 26, 74
1.074000000000001e-2, 29, 71
1.077000000000001e-2, 27, 73
1.0800000000000011e-2, 26, 74
1.0830000000000011e-2, 23, 77
1.0860000000000012e-2, 27, 73
1.0890000000000013e-2, 26, 74
1.0920000000000013e-2, 24, 76
1.0950000000000014e-2, 26, 74
1.0980000000000014e-2, 21, 79
1.1010000000000015e-2, 23, 77
1.1040000000000015e-2, 22, 78
1.1070000000000016e-2, 26, 74
1.1100000000000016e-2, 24, 76
1.1130000000000017e-2, 22, 78
1.1160000000000017e-2, 20, 80
1.1190000000000018e-2, 23, 77
1.1220000000000018e-2, 23, 77
1.1250000000000019e-2, 25, 75
1.128000000000002e-2, 25, 75
1.131000000000002e-2, 21, 79
1.134000000000002e-2, 16, 84
1.137000000000002e-2, 18, 82
1.1400000000000021e-2, 22, 78
1.1430000000000022e-2, 26, 74
1.1460000000000022e-2, 25, 75
1.1490000000000023e-2, 26, 74
1.1520000000000023e-2, 28, 72
1.1550000000000024e-2, 23, 77
1.1580000000000024e-2, 26, 74
1.1610000000000025e-2, 22, 78
1.1640000000000025e-2, 24, 76
1.1670000000000026e-2, 25, 75
1.1700000000000026e-2, 29, 71
1.1730000000000027e-2, 28, 72
1.1760000000000027e-2, 29, 71
1.1790000000000028e-2, 28, 72
1.1820000000000028e-2, 23, 77
1.1850000000000029e-2, 23, 77
1.188000000000003e-2, 22, 78
1.191000000000003e-2, 26, 74
1.194000000000003e-2, 25, 75
1.1970000000000031e-2, 25, 75
1.2000000000000031e-2, 23, 77
1.2030000000000032e-2, 22, 78
1.2060000000000032e-2, 24, 76
1.2090000000000033e-2, 28, 72
1.2120000000000034e-2, 26, 74
1.2150000000000034e-2, 21, 79
1.2180000000000035e-2, 22, 78
1.2210000000000035e-2, 23, 77
1.2240000000000036e-2, 21, 79
1.2270000000000036e-2, 28, 72
1.2300000000000037e-2, 31, 69
1.2330000000000037e-2, 29, 71
1.2360000000000038e-2, 28, 72
1.2390000000000038e-2, 21, 79
1.2420000000000039e-2, 24, 76
1.245000000000004e-2, 24, 76
1.248000000000004e-2, 25, 75
1.251000000000004e-2, 24, 76
1.254000000000004e-2, 28, 72
1.2570000000000041e-2, 24, 76
1.2600000000000042e-2, 24, 76
1.2630000000000042e-2, 23, 77
1.2660000000000043e-2, 24, 76
1.2690000000000043e-2, 26, 74
1.2720000000000044e-2, 27, 73
1.2750000000000044e-2, 27, 73
1.2780000000000045e-2, 26, 74
1.2810000000000045e-2, 26, 74
1.2840000000000046e-2, 27, 73
1.2870000000000046e-2, 30, 70
1.2900000000000047e-2, 28, 72
1.2930000000000047e-2, 28, 72
1.2960000000000048e-2, 26, 74
1.2990000000000048e-2, 23, 77
1.3020000000000049e-2, 22, 78
1.305000000000005e-2, 25, 75
1.308000000000005e-2, 22, 78
1.311000000000005e-2, 27, 73
1.3140000000000051e-2, 28, 72
1.3170000000000051e-2, 24, 76
1.3200000000000052e-2, 21, 79
1.3230000000000052e-2, 23, 77
1.3260000000000053e-2, 26, 74
1.3290000000000054e-2, 23, 77
1.3320000000000054e-2, 27, 73
1.3350000000000055e-2, 26, 74
1.3380000000000055e-2, 25, 75
1.3410000000000056e-2, 26, 74
1.3440000000000056e-2, 25, 75
1.3470000000000057e-2, 25, 75
1.3500000000000057e-2, 27, 73
1.3530000000000058e-2, 26, 74
1.3560000000000058e-2, 26, 74
1.3590000000000059e-2, 26, 74
1.362000000000006e-2, 27, 73
1.365000000000006e-2, 27, 73
1.368000000000006e-2, 21, 79
1.371000000000006e-2, 26, 74
1.3740000000000061e-2, 23, 77
1.3770000000000062e-2, 24, 76
1.3800000000000062e-2, 22, 78
1.3830000000000063e-2, 19, 81
1.3860000000000063e-2, 23, 77
1.3890000000000064e-2, 19, 81
1.3920000000000064e-2, 19, 81
1.3950000000000065e-2, 22, 78
1.3980000000000065e-2, 24, 76
1.4010000000000066e-2, 21, 79
1.4040000000000066e-2, 27, 73
1.4070000000000067e-2, 28, 72
1.4100000000000067e-2, 26, 74
1.4130000000000068e-2, 24, 76
1.4160000000000068e-2, 28, 72
1.4190000000000069e-2, 27, 73
1.422000000000007e-2, 27, 73
1.425000000000007e-2, 28, 72
1.428000000000007e-2, 28, 72
1.4310000000000071e-2, 27, 73
1.4340000000000071e-2, 24, 76
1.4370000000000072e-2, 30, 70
1.4400000000000072e-2, 32, 68
1.4430000000000073e-2, 24, 76
1.4460000000000073e-2, 21, 79
1.4490000000000074e-2, 25, 75
1.4520000000000075e-2, 22, 78
1.4550000000000075e-2, 20, 80
1.4580000000000076e-2, 25, 75
1.4610000000000076e-2, 25, 75
1.4640000000000077e-2, 27, 73
1.4670000000000077e-2, 29, 71
1.4700000000000078e-2, 27, 73
1.4730000000000078e-2, 27, 73
1.4760000000000079e-2, 26, 74
1.4790000000000079e-2, 29, 71
1.482000000000008e-2, 27, 73
1.485000000000008e-2, 26, 74
1.488000000000008e-2, 23, 77
1.4910000000000081e-2, 22, 78
1.4940000000000082e-2, 23, 77
1.4970000000000082e-2, 22, 78
1.5000000000000083e-2, 22, 78
1.5030000000000083e-2, 20, 80
1.5060000000000084e-2, 28, 72
1.5090000000000084e-2, 31, 69
1.5120000000000085e-2, 27, 73
1.5150000000000085e-2, 26, 74
1.5180000000000086e-2, 26, 74
1.5210000000000086e-2, 25, 75
1.5240000000000087e-2, 24, 76
1.5270000000000087e-2, 20, 80
1.5300000000000088e-2, 25, 75
1.5330000000000088e-2, 26, 74
1.5360000000000089e-2, 25, 75
1.539000000000009e-2, 26, 74
1.542000000000009e-2, 23, 77
1.545000000000009e-2, 22, 78
1.5480000000000091e-2, 20, 80
1.5510000000000091e-2, 23, 77
1.5540000000000092e-2, 21, 79
1.5570000000000092e-2, 20, 80
1.5600000000000093e-2, 21, 79
1.5630000000000092e-2, 26, 74
1.566000000000009e-2, 25, 75
1.569000000000009e-2, 23, 77
1.5720000000000088e-2, 23, 77
1.5750000000000087e-2, 26, 74
1.5780000000000086e-2, 26, 74
1.5810000000000084e-2, 26, 74
1.5840000000000083e-2, 23, 77
1.5870000000000082e-2, 22, 78
1.590000000000008e-2, 30, 70
1.593000000000008e-2, 20, 80
1.596000000000008e-2, 22, 78
1.5990000000000077e-2, 24, 76
1.6020000000000076e-2, 26, 74
1.6050000000000075e-2, 26, 74
1.6080000000000073e-2, 26, 74
1.6110000000000072e-2, 24, 76
1.614000000000007e-2, 22, 78
1.617000000000007e-2, 21, 79
1.620000000000007e-2, 23, 77
1.6230000000000067e-2, 26, 74
1.6260000000000066e-2, 24, 76
1.6290000000000065e-2, 24, 76
1.6320000000000064e-2, 21, 79
1.6350000000000062e-2, 25, 75
1.638000000000006e-2, 25, 75
1.641000000000006e-2, 26, 74
1.644000000000006e-2, 22, 78
1.6470000000000058e-2, 19, 81
1.6500000000000056e-2, 18, 82
1.6530000000000055e-2, 21, 79
1.6560000000000054e-2, 20, 80
1.6590000000000053e-2, 23, 77
1.662000000000005e-2, 23, 77
1.665000000000005e-2, 27, 73
1.668000000000005e-2, 26, 74
1.6710000000000048e-2, 24, 76
1.6740000000000047e-2, 21, 79
1.6770000000000045e-2, 21, 79
1.6800000000000044e-2, 22, 78
1.6830000000000043e-2, 21, 79
1.686000000000004e-2, 23, 77
1.689000000000004e-2, 27, 73
1.692000000000004e-2, 27, 73
1.6950000000000038e-2, 20, 80
1.6980000000000037e-2, 22, 78
1.7010000000000036e-2, 22, 78
1.7040000000000034e-2, 22, 78
1.7070000000000033e-2, 21, 79
1.7100000000000032e-2, 24, 76
1.713000000000003e-2, 22, 78
1.716000000000003e-2, 19, 81
1.7190000000000028e-2, 20, 80
1.7220000000000027e-2, 18, 82
1.7250000000000026e-2, 25, 75
1.7280000000000025e-2, 22, 78
1.7310000000000023e-2, 22, 78
1.7340000000000022e-2, 23, 77
1.737000000000002e-2, 21, 79
1.740000000000002e-2, 20, 80
1.743000000000002e-2, 24, 76
1.7460000000000017e-2, 26, 74
1.7490000000000016e-2, 30, 70
1.7520000000000015e-2, 25, 75
1.7550000000000014e-2, 28, 72
1.7580000000000012e-2, 31, 69
1.761000000000001e-2, 27, 73
1.764000000000001e-2, 25, 75
1.767000000000001e-2, 23, 77
1.7700000000000007e-2, 25, 75
1.7730000000000006e-2, 27, 73
1.7760000000000005e-2, 27, 73
1.7790000000000004e-2, 29, 71
