Time, H, H_Bound
1.4159999999999973e-3, 8, 92
1.4219999999999973e-3, 8, 92
1.4279999999999972e-3, 8, 92
1.4339999999999971e-3, 8, 92
1.439999999999997e-3, 8, 92
1.445999999999997e-3, 8, 92
1.451999999999997e-3, 8, 92
1.4579999999999968e-3, 8, 92
1.4639999999999968e-3, 8, 92
1.4699999999999967e-3, 8, 92
1.4759999999999966e-3, 8, 92
1.4819999999999966e-3, 8, 92
1.4879999999999965e-3, 8, 92
1.4939999999999964e-3, 8, 92
1.4999999999999963e-3, 8, 92
1.5059999999999963e-3, 8, 92
1.5119999999999962e-3, 8, 92
1.5179999999999961e-3, 8, 92
1.523999999999996e-3, 8, 92
1.529999999999996e-3, 8, 92
1.535999999999996e-3, 8, 92
1.5419999999999958e-3, 8, 92
1.5479999999999958e-3, 8, 92
1.5539999999999957e-3, 8, 92
1.5599999999999956e-3, 8, 92
1.5659999999999956e-3, 8, 92
1.5719999999999955e-3, 8, 92
1.5779999999999954e-3, 8, 92
1.5839999999999954e-3, 8, 92
1.5899999999999953e-3, 8, 92
1.5959999999999952e-3, 8, 92
1.6019999999999951e-3, 8, 92
1.607999999999995e-3, 8, 92
1.613999999999995e-3, 8, 92
1.619999999999995e-3, 8, 92
1.6259999999999949e-3, 8, 92
1.6319999999999948e-3, 8, 92
1.6379999999999947e-3, 8, 92
1.6439999999999946e-3, 8, 92
1.6499999999999946e-3, 8, 92
1.6559999999999945e-3, 8, 92
1.6619999999999944e-3, 8, 92
1.6679999999999944e-3, 8, 92
1.6739999999999943e-3, 8, 92
1.6799999999999942e-3, 8, 92
1.6859999999999941e-3, 8, 92
1.691999999999994e-3, 8, 92
1.697999999999994e-3, 8, 92
1.703999999999994e-3, 8, 92
1.7099999999999939e-3, 8, 92
1.7159999999999938e-3, 8, 92
1.7219999999999937e-3, 8, 92
1.7279999999999936e-3, 8, 92
1.7339999999999936e-3, 8, 92
1.7399999999999935e-3, 8, 92
1.7459999999999934e-3, 8, 92
1.7519999999999934e-3, 8, 92
1.7579999999999933e-3, 8, 92
1.7639999999999932e-3, 8, 92
1.7699999999999931e-3, 8, 92
1.775999999999993e-3, 8, 92
1.781999999999993e-3, 8, 92
1.787999999999993e-3, 8, 92
1.7939999999999929e-3, 8, 92
1.7999999999999928e-3, 8, 92
1.8059999999999927e-3, 9, 91
1.8119999999999927e-3, 9, 91
1.8179999999999926e-3, 9, 91
1.8239999999999925e-3, 9, 91
1.8299999999999924e-3, 9, 91
1.8359999999999924e-3, 9, 91
1.8419999999999923e-3, 9, 91
1.8479999999999922e-3, 9, 91
1.8539999999999922e-3, 9, 91
1.859999999999992e-3, 9, 91
1.865999999999992e-3, 9, 91
1.871999999999992e-3, 9, 91
