Time,Na(),Na_plus()
0.0170054827761,24,76
0.0170362537051,24,76
0.0170750957718,25,75
0.0171075756606,23,77
0.0171432262267,22,78
0.0171737678545,20,80
0.0172237623742,20,80
0.0172606782666,20,80
0.017290749283,17,83
0.0173341803007,20,80
0.0173642379382,23,77
0.0173958766949,25,75
0.0174268640059,24,76
0.0174765020754,20,80
0.0175100439206,20,80
0.0175522856958,22,78
0.0175831473808,22,78
0.0176265811866,25,75
0.0176591748167,24,76
0.01769744658,25,75
0.0177295053139,25,75
0.0177721063773,27,73
0.0178148836578,26,74
0.0178491657214,22,78
0.0178825277476,22,78
0.0179180842611,24,76
0.017951101177,24,76
0.0179962122822,22,78
0.0180559194905,24,76
0.0181075800747,24,76
0.0181384053529,25,75
0.0181707385143,21,79
0.0182008283436,21,79
0.0182349571834,20,80
0.0182677574214,22,78
0.0183154274992,22,78
0.0183526643627,20,80
0.0183854257595,23,77
0.0184421057599,24,76
0.0184768367636,26,74
0.0185135900093,26,74
0.0185476206399,29,71
0.0185853057873,26,74
0.0186165898883,26,74
0.0186556769303,29,71
0.0186983341371,29,71
0.018761810995,25,75
0.018811164933,22,78
0.0188514338946,22,78
0.0188859779218,22,78
0.0189196923295,18,82
0.0189544617329,16,84
0.0189853964887,18,82
0.0190333290594,20,80
0.0190930416293,20,80
0.0191415284125,22,78
0.0191814727266,23,77
0.019230310795,23,77
0.0192617951968,20,80
0.0192988349586,22,78
0.0193409445557,22,78
0.019375625241,20,80
0.0194240898201,24,76
0.0194609687967,21,79
0.0194914304671,22,78
0.0195216370091,21,79
0.0195569945389,22,78
0.0195877863006,25,75
0.0196224300504,24,76
0.0196606845054,27,73
0.0196910458908,25,75
0.0197389400802,24,76
0.0197768724811,24,76
0.0198118914594,23,77
0.0198506141011,21,79
0.0198839575618,20,80
0.0199304547131,23,77
0.0199708046937,22,78
0.0200041213428,23,77
0.0200566470399,24,76
0.020090707808,25,75
0.0201229379312,27,73
0.0201606028949,26,74
0.0201914210613,28,72
0.0202275219903,24,76
0.0202684580019,23,77
0.0203074761367,25,75
0.0203398008967,25,75
0.0203998314361,25,75
0.0204310886204,25,75
0.020465298821,27,73
0.0205108441938,22,78
0.0205514564757,25,75
0.0205918698902,25,75
0.0206252534902,27,73
0.0206687399073,25,75
0.02069963619,23,77
0.0207552055764,22,78
0.0207920747947,23,77
0.02085228752,24,76
0.0208853734009,22,78
0.0209243659928,25,75
0.020967421139,24,76
0.0209990228253,27,73
0.0210337876258,24,76
0.0210654003224,26,74
0.0211023375052,25,75
0.0211416441152,27,73
0.0211723892546,30,70
0.0212042954245,31,69
0.021237425498,27,73
0.0212697232776,26,74
0.0213004801193,26,74
0.0213491804873,26,74
0.021379610339,25,75
0.021421004377,23,77
0.0214682457053,23,77
0.0215057575,23,77
0.0215413251503,22,78
0.0215796002797,22,78
0.0216204436326,21,79
0.0216595856237,23,77
0.0216930958309,22,78
0.0217361461839,22,78
0.0217814011718,22,78
0.0218145127545,21,79
0.0218850159619,25,75
0.0219248782841,25,75
0.0219611382399,23,77
0.0219913463123,21,79
0.0220405670078,20,80
0.0221105182185,21,79
0.0221651841187,22,78
0.0221973248549,27,73
0.022228747892,24,76
0.022261118516,25,75
0.022301916711,25,75
0.0223360968447,22,78
0.0223663496207,22,78
0.0224015269344,24,76
0.0224382726169,24,76
0.0224706492039,22,78
0.0225049957915,22,78
0.022539913032,23,77
0.0225712097858,23,77
0.0226069746087,26,74
0.0226505049659,27,73
0.0227041324276,22,78
0.0227400684431,21,79
0.0227749396022,26,74
0.0228108533966,28,72
0.0228431638012,25,75
0.0228761643674,20,80
0.0229079091536,21,79
0.022938459531,21,79
0.0229701610639,22,78
0.0230106390419,22,78
0.0230467798846,21,79
0.0230821653791,22,78
0.0231122352591,22,78
0.0231481737935,17,83
0.0232194782236,23,77
0.0232611440638,23,77
0.0232989705304,20,80
0.0233319140715,19,81
0.0233731721855,17,83
0.0234334560165,17,83
0.0234806357858,21,79
0.0235269805133,20,80
0.0235732793795,21,79
0.0236048141939,22,78
0.0236359592565,22,78
0.0236755629809,22,78
0.0237234629373,20,80
0.0237688576377,20,80
0.023814090834,17,83
0.0238498683187,15,85
0.0238844582923,16,84
0.0239178917151,17,83
0.0239558663841,16,84
0.0239909627931,19,81
0.0240214113953,20,80
0.0240641138936,20,80
0.0241725648246,25,75
0.024212314666,25,75
0.0242458850697,29,71
0.0242859808654,29,71
0.0243274585545,30,70
0.0243805903897,25,75
0.0244112865449,26,74
0.02445593571,23,77
0.0244994716923,25,75
0.0245320815133,28,72
0.0245635311299,26,74
0.0245974056485,24,76
0.0246341756012,27,73
0.0246716670616,26,74
0.0247072075872,26,74
0.0247496224664,24,76
0.0247852023889,25,75
0.0248237318955,26,74
0.0248537622752,27,73
0.0248859947286,26,74
0.0249254973705,24,76
0.024974476994,22,78
0.0250100867659,25,75
0.0250652282029,24,76
0.0251131391699,23,77
0.0251432009609,24,76
0.0251754641658,25,75
0.0252084409635,25,75
0.0252390683207,24,76
0.0252691233551,24,76
0.025304210231,22,78
0.0253547178562,26,74
0.0253875196845,27,73
0.0254185503248,25,75
0.0254488590973,28,72
0.0254799973582,25,75
0.0255308173281,25,75
0.0255703805669,24,76
0.0256223648535,22,78
0.025654968163,23,77
0.0256873513098,28,72
0.0257269717277,24,76
0.0257577524991,24,76
0.0257977933701,26,74
0.0258369010318,23,77
0.0258765619627,22,78
0.0259142097643,27,73
0.0259523466703,26,74
0.0259931856141,25,75
0.0260238587077,24,76
0.0260562311779,24,76
0.0260914576343,26,74
0.026128352626,24,76
0.0261827083042,22,78
0.0262250741305,21,79
0.0262607673565,24,76
0.0262922788539,23,77
0.026326021172,21,79
0.0263586116629,21,79
0.0263899533744,22,78
0.0264245542799,19,81
0.0264634508689,22,78
0.026506756399,22,78
0.0265603000612,23,77
0.0265916452302,23,77
0.026630559512,22,78
0.0266667336684,23,77
0.0266998091612,22,78
0.0267331048049,25,75
0.0267759827989,27,73
0.0268443997364,26,74
0.0268836409657,28,72
0.026913735577,28,72
0.0269534840723,30,70
0.0269868189109,29,71
0.0270194270452,28,72
0.0270571608999,28,72
0.0270908500893,27,73
0.0271223369929,26,74
0.0271534217415,23,77
0.0271885986796,23,77
0.0272211080393,22,78
0.0272836272754,22,78
0.0273287823909,18,82
0.0273598567386,17,83
0.0273931613308,17,83
0.0274324275152,21,79
0.0274737595837,22,78
0.0275238844722,21,79
0.0275611689558,25,75
0.0275959717461,25,75
0.0276285654511,28,72
0.0277022352227,27,73
0.0277332862872,27,73
0.0277650498797,29,71
0.0277965010769,24,76
0.0278507347112,25,75
0.0278880213715,24,76
0.0279292459152,24,76
0.0279728757111,22,78
0.0280230852017,22,78
0.0280539678765,22,78
0.0280881107304,20,80
0.0281376530363,22,78
0.0281731476081,21,79
0.0282045412632,20,80
0.0282349229423,21,79
0.0282706857353,19,81
0.0283116477969,20,80
0.0283429606733,18,82
0.0283769346645,21,79
0.028423039415,20,80
0.0284650301568,23,77
0.0284998265298,22,78
0.0285431900467,23,77
0.0285782831177,25,75
0.028609555851,28,72
0.0286434915986,28,72
0.0286807902156,27,73
0.0287190041049,25,75
0.0287513610122,25,75
0.0287834854344,24,76
0.0288180197992,25,75
0.0288579614448,23,77
0.0288911419416,23,77
0.0289294745926,25,75
0.0289790532694,24,76
0.0290190869453,23,77
0.029051638544,20,80
0.0290893988012,22,78
0.0291363183777,25,75
0.029166891969,25,75
0.0291998081398,24,76
0.0292337032644,25,75
0.0292849608694,25,75
0.0293181481053,24,76
0.0293499519714,21,79
0.0293849157379,22,78
0.0294166114516,24,76
0.0294481649041,24,76
0.0294848473816,25,75
0.0295148833997,25,75
0.0295458634978,26,74
0.0295948632839,27,73
0.0296262782146,26,74
0.029660801873,30,70
0.0296978696635,29,71
0.029730400759,27,73
0.0297673831236,29,71
0.0298001673875,26,74
0.0298408609489,26,74
0.0298771883082,26,74
0.0299088152997,24,76
0.0299397947188,22,78
0.029978399562,24,76
